hour,Biome,individual_local_identifier,count,individual_name
5.0,Pantanal,PA_64_COLUMBUS,5.0,COLUMBUS
5.0,Pantanal,PA_65_VALENTINA,5.0,VALENTINA
5.0,Pantanal,PA_67_CARMINHA,5.0,CARMINHA
5.0,Pantanal,PA_68_FAROFO,5.0,FAROFO
5.0,Pantanal,PA_69_ANGELINA,5.0,ANGELINA
5.0,Pantanal,PA_71_SIDNEY,5.0,SIDNEY
5.0,Pantanal,PA_74_LAURO,5.0,LAURO
5.0,Pantanal,PA_82_DONNA,5.0,DONNA
5.0,Pantanal,PA_86_CUZINHO,5.0,CUZINHO
6.0,Atlantic Forest,AF_01_JOANA,6.0,JOANA
6.0,Atlantic Forest,AF_02_PAULETE,6.0,PAULETE
6.0,Atlantic Forest,AF_05_CHUCHU,6.0,CHUCHU
6.0,Atlantic Forest,AF_12_PATRICIA,6.0,PATRICIA
