individual,hour,distance_meters,distance_km,num_points,distance_per_point
CE_13_SULI,2,39403.09253385812,39.40309253385812,54,729.6868987751504
CE_13_SULI,3,42717.856122542406,42.71785612254241,55,776.6882931371347
CE_13_SULI,4,38219.97529698154,38.21997529698154,49,779.9994958567661
CE_13_SULI,5,28352.306412647227,28.352306412647227,50,567.0461282529445
CE_13_SULI,6,25262.89593705898,25.26289593705898,47,537.5084241927442
CE_13_SULI,7,25435.50688752686,25.43550688752686,47,541.1809976069544
CE_13_SULI,8,25359.22191066375,25.35922191066375,45,563.5382646814166
CE_13_SULI,9,25704.693453688138,25.704693453688137,46,558.7976837758291
CE_13_SULI,10,23432.169772421825,23.432169772421826,43,544.934180753996
CE_13_SULI,11,25108.01853407403,25.10801853407403,44,570.6367848653189
CE_13_SULI,12,25344.54644661234,25.34454644661234,45,563.212143258052
CE_13_SULI,13,24289.759900037378,24.289759900037378,43,564.8781372101715
CE_13_SULI,14,23123.608221616585,23.123608221616585,43,537.7583307352694
CE_13_SULI,15,26036.068653314567,26.03606865331457,45,578.5793034069903
CE_13_SULI,16,25024.57846822126,25.02457846822126,43,581.9669411214247
CE_13_SULI,17,23708.23649509092,23.708236495090922,43,551.3543370951377
CE_13_SULI,18,31779.116740780155,31.779116740780154,46,690.8503639300034
CE_13_SULI,19,39633.793839258055,39.633793839258054,48,825.7040383178761
CE_13_SULI,20,42331.9776504554,42.3319776504554,48,881.9162010511542
CE_13_SULI,21,46076.038785711986,46.07603878571199,50,921.5207757142397
CE_13_SULI,22,44384.59705837289,44.38459705837289,53,837.4452275164697
CE_13_SULI,23,47810.505148074255,47.810505148074256,57,838.7807920714781
CE_15_KURUKA,0,96545.71583275545,96.54571583275545,71,1359.7988145458514
CE_15_KURUKA,1,88712.65685120497,88.71265685120497,69,1285.6906790029707
CE_15_KURUKA,2,96175.34027062553,96.17534027062553,69,1393.845511168486
CE_15_KURUKA,3,89718.65749984261,89.7186574998426,68,1319.392022056509
CE_15_KURUKA,4,86469.73736809217,86.46973736809217,68,1271.613784824885
CE_15_KURUKA,5,68260.16112718065,68.26016112718065,66,1034.2448655633432
CE_15_KURUKA,6,55813.35448825146,55.81335448825146,66,845.6568861856282
CE_15_KURUKA,7,58514.088405299466,58.51408840529947,69,848.0302667434705
CE_15_KURUKA,8,55271.59272658551,55.27159272658551,66,837.448374645235
CE_15_KURUKA,9,58159.661845487295,58.15966184548729,68,855.2891447865778
CE_15_KURUKA,10,55660.8592359148,55.6608592359148,68,818.5420475869823
CE_15_KURUKA,11,53713.87188965732,53.71387188965732,68,789.9098807302547
CE_15_KURUKA,12,55357.30001660604,55.35730001660604,65,851.6507694862468
CE_15_KURUKA,13,56560.08875187329,56.560088751873295,65,870.1552115672814
CE_15_KURUKA,14,56761.4987112769,56.7614987112769,65,873.2538263273369
CE_15_KURUKA,15,56111.85707119349,56.11185707119349,65,863.2593395568229
CE_15_KURUKA,16,55896.17082499972,55.896170824999714,66,846.9116791666623
CE_15_KURUKA,17,56708.76660802978,56.70876660802978,66,859.2237364852997
CE_15_KURUKA,18,61699.49222765419,61.69949222765419,70,881.421317537917
CE_15_KURUKA,19,63760.84084345875,63.760840843458745,72,885.5672339369271
CE_15_KURUKA,20,75399.66375221664,75.39966375221664,71,1061.9670951016428
CE_15_KURUKA,21,74970.94481804837,74.97094481804838,69,1086.5354321456286
CE_15_KURUKA,22,80050.2609706142,80.05026097061419,70,1143.57515672306
CE_15_KURUKA,23,84726.82535133054,84.72682535133053,70,1210.383219304722
CE_17_ARNO,0,190570.19964865778,190.5701996486578,246,774.6756083278772
CE_17_ARNO,1,182335.32981647816,182.33532981647815,245,744.2258359856252
CE_17_ARNO,2,198605.58994730373,198.60558994730374,246,807.339796533755
CE_17_ARNO,3,191763.48527547132,191.7634852754713,247,776.3703857306531
CE_17_ARNO,4,199683.8967763245,199.68389677632447,238,839.0079696484222
CE_17_ARNO,5,230673.5186821557,230.6735186821557,241,957.1515298014759
CE_17_ARNO,6,215963.19579422264,215.96319579422266,233,926.8806686447324
CE_17_ARNO,7,213562.29911490536,213.56229911490536,239,893.5661050832861
CE_17_ARNO,8,216967.58371077589,216.9675837107759,240,904.0315987948995
CE_17_ARNO,9,206174.6294045095,206.1746294045095,234,881.0881598483312
CE_17_ARNO,10,215423.85261845062,215.4238526184506,234,920.6147547797035
CE_17_ARNO,11,216647.76700642012,216.6477670064201,239,906.4760125791637
CE_17_ARNO,12,210985.6545022148,210.9856545022148,231,913.3578116978996
CE_17_ARNO,13,200283.71122296242,200.2837112229624,229,874.6013590522376
CE_17_ARNO,14,193074.56757857875,193.07456757857875,230,839.4546416459946
CE_17_ARNO,15,193808.11672756786,193.80811672756786,231,838.9961763098175
CE_17_ARNO,16,208080.0339005245,208.08003390052448,231,900.7793675347381
CE_17_ARNO,17,226788.2973835517,226.78829738355168,238,952.8920058132423
CE_17_ARNO,18,209456.00863242388,209.45600863242387,238,880.0672631614449
CE_17_ARNO,19,207031.87148980537,207.03187148980538,247,838.185714533625
CE_17_ARNO,20,212676.70201598268,212.67670201598267,245,868.0681714938069
CE_17_ARNO,21,196847.9391073955,196.84793910739552,245,803.460975948553
CE_17_ARNO,22,190513.8256153806,190.5138256153806,244,780.79436727615
CE_17_ARNO,23,196252.3398870673,196.2523398870673,244,804.3128683896201
CE_21_ZEMARIA,0,820648.9649464982,820.6489649464982,393,2088.1653052073743
CE_21_ZEMARIA,1,846285.8912474512,846.2858912474512,404,2094.767057543196
CE_21_ZEMARIA,2,790246.4346777425,790.2464346777425,389,2031.4818372178472
CE_21_ZEMARIA,3,785258.2055126191,785.2582055126192,407,1929.3813403258455
CE_21_ZEMARIA,4,679539.6364995039,679.5396364995039,393,1729.1084898206204
CE_21_ZEMARIA,5,643650.8965300145,643.6508965300145,392,1641.9665727806491
CE_21_ZEMARIA,6,587493.6675102388,587.4936675102389,377,1558.3386406107131
CE_21_ZEMARIA,7,519683.9044401208,519.6839044401208,372,1396.9997431186043
CE_21_ZEMARIA,8,505836.67081063974,505.83667081063976,362,1397.3388696426512
CE_21_ZEMARIA,9,524062.86321850645,524.0628632185064,355,1476.2334175169196
CE_21_ZEMARIA,10,504867.1591480014,504.8671591480014,342,1476.2197635906473
CE_21_ZEMARIA,11,530313.5695431603,530.3135695431603,330,1607.0108167974554
CE_21_ZEMARIA,12,486571.1859381009,486.57118593810094,327,1487.985278098168
CE_21_ZEMARIA,13,530921.3899690068,530.9213899690068,338,1570.7733431035704
CE_21_ZEMARIA,14,503869.7266294919,503.8697266294919,326,1545.6126583726746
CE_21_ZEMARIA,15,467534.44736414397,467.53444736414394,329,1421.0773476113798
CE_21_ZEMARIA,16,500327.71825914545,500.32771825914546,334,1497.9871804166032
CE_21_ZEMARIA,17,541114.1697787527,541.1141697787527,346,1563.9137854877247
CE_21_ZEMARIA,18,597050.7919215199,597.0507919215199,357,1672.4111818529968
CE_21_ZEMARIA,19,720256.9045056817,720.2569045056817,386,1865.9505298074655
CE_21_ZEMARIA,20,785499.1910721955,785.4991910721956,387,2029.713672021177
CE_21_ZEMARIA,21,821609.5860286643,821.6095860286642,397,2069.545556747265
CE_21_ZEMARIA,22,801994.232402906,801.994232402906,390,2056.395467699759
CE_21_ZEMARIA,23,816476.1626511671,816.4761626511671,394,2072.274524495348
CE_22_ZEFA,0,86853.63946842105,86.85363946842105,80,1085.6704933552633
CE_22_ZEFA,1,95391.49435422572,95.39149435422573,85,1122.2528747555968
CE_22_ZEFA,2,80756.29334393241,80.75629334393241,82,984.8328456577124
